image_path,label
imagenes_ecg_test\0.0\ecg_0.png,0.0
imagenes_ecg_test\0.0\ecg_1.png,0.0
imagenes_ecg_test\0.0\ecg_2.png,0.0
imagenes_ecg_test\0.0\ecg_3.png,0.0
imagenes_ecg_test\0.0\ecg_4.png,0.0
imagenes_ecg_test\0.0\ecg_5.png,0.0
imagenes_ecg_test\0.0\ecg_6.png,0.0
imagenes_ecg_test\0.0\ecg_7.png,0.0
imagenes_ecg_test\0.0\ecg_8.png,0.0
imagenes_ecg_test\0.0\ecg_9.png,0.0
imagenes_ecg_test\0.0\ecg_10.png,0.0
imagenes_ecg_test\0.0\ecg_11.png,0.0
imagenes_ecg_test\0.0\ecg_12.png,0.0
imagenes_ecg_test\0.0\ecg_13.png,0.0
imagenes_ecg_test\0.0\ecg_14.png,0.0
imagenes_ecg_test\0.0\ecg_15.png,0.0
imagenes_ecg_test\0.0\ecg_16.png,0.0
imagenes_ecg_test\0.0\ecg_17.png,0.0
imagenes_ecg_test\0.0\ecg_18.png,0.0
imagenes_ecg_test\0.0\ecg_19.png,0.0
imagenes_ecg_test\0.0\ecg_20.png,0.0
imagenes_ecg_test\0.0\ecg_21.png,0.0
imagenes_ecg_test\0.0\ecg_22.png,0.0
imagenes_ecg_test\0.0\ecg_23.png,0.0
imagenes_ecg_test\0.0\ecg_24.png,0.0
imagenes_ecg_test\0.0\ecg_25.png,0.0
imagenes_ecg_test\0.0\ecg_26.png,0.0
imagenes_ecg_test\0.0\ecg_27.png,0.0
imagenes_ecg_test\0.0\ecg_28.png,0.0
imagenes_ecg_test\0.0\ecg_29.png,0.0
imagenes_ecg_test\0.0\ecg_30.png,0.0
imagenes_ecg_test\0.0\ecg_31.png,0.0
imagenes_ecg_test\0.0\ecg_32.png,0.0
imagenes_ecg_test\0.0\ecg_33.png,0.0
imagenes_ecg_test\0.0\ecg_34.png,0.0
imagenes_ecg_test\0.0\ecg_35.png,0.0
imagenes_ecg_test\0.0\ecg_36.png,0.0
imagenes_ecg_test\0.0\ecg_37.png,0.0
imagenes_ecg_test\0.0\ecg_38.png,0.0
imagenes_ecg_test\0.0\ecg_39.png,0.0
imagenes_ecg_test\0.0\ecg_40.png,0.0
imagenes_ecg_test\0.0\ecg_41.png,0.0
imagenes_ecg_test\0.0\ecg_42.png,0.0
imagenes_ecg_test\0.0\ecg_43.png,0.0
imagenes_ecg_test\0.0\ecg_44.png,0.0
imagenes_ecg_test\0.0\ecg_45.png,0.0
imagenes_ecg_test\0.0\ecg_46.png,0.0
imagenes_ecg_test\0.0\ecg_47.png,0.0
imagenes_ecg_test\0.0\ecg_48.png,0.0
imagenes_ecg_test\0.0\ecg_49.png,0.0
imagenes_ecg_test\0.0\ecg_50.png,0.0
imagenes_ecg_test\0.0\ecg_51.png,0.0
imagenes_ecg_test\0.0\ecg_52.png,0.0
imagenes_ecg_test\0.0\ecg_53.png,0.0
imagenes_ecg_test\0.0\ecg_54.png,0.0
imagenes_ecg_test\0.0\ecg_55.png,0.0
imagenes_ecg_test\0.0\ecg_56.png,0.0
imagenes_ecg_test\0.0\ecg_57.png,0.0
imagenes_ecg_test\0.0\ecg_58.png,0.0
imagenes_ecg_test\0.0\ecg_59.png,0.0
imagenes_ecg_test\0.0\ecg_60.png,0.0
imagenes_ecg_test\0.0\ecg_61.png,0.0
imagenes_ecg_test\0.0\ecg_62.png,0.0
imagenes_ecg_test\0.0\ecg_63.png,0.0
imagenes_ecg_test\0.0\ecg_64.png,0.0
imagenes_ecg_test\0.0\ecg_65.png,0.0
imagenes_ecg_test\0.0\ecg_66.png,0.0
imagenes_ecg_test\0.0\ecg_67.png,0.0
imagenes_ecg_test\0.0\ecg_68.png,0.0
imagenes_ecg_test\0.0\ecg_69.png,0.0
imagenes_ecg_test\0.0\ecg_70.png,0.0
imagenes_ecg_test\0.0\ecg_71.png,0.0
imagenes_ecg_test\0.0\ecg_72.png,0.0
imagenes_ecg_test\0.0\ecg_73.png,0.0
imagenes_ecg_test\0.0\ecg_74.png,0.0
imagenes_ecg_test\0.0\ecg_75.png,0.0
imagenes_ecg_test\0.0\ecg_76.png,0.0
imagenes_ecg_test\0.0\ecg_77.png,0.0
imagenes_ecg_test\0.0\ecg_78.png,0.0
imagenes_ecg_test\0.0\ecg_79.png,0.0
imagenes_ecg_test\0.0\ecg_80.png,0.0
imagenes_ecg_test\0.0\ecg_81.png,0.0
imagenes_ecg_test\0.0\ecg_82.png,0.0
imagenes_ecg_test\0.0\ecg_83.png,0.0
imagenes_ecg_test\0.0\ecg_84.png,0.0
imagenes_ecg_test\0.0\ecg_85.png,0.0
imagenes_ecg_test\0.0\ecg_86.png,0.0
imagenes_ecg_test\0.0\ecg_87.png,0.0
imagenes_ecg_test\0.0\ecg_88.png,0.0
imagenes_ecg_test\0.0\ecg_89.png,0.0
imagenes_ecg_test\0.0\ecg_90.png,0.0
imagenes_ecg_test\0.0\ecg_91.png,0.0
imagenes_ecg_test\0.0\ecg_92.png,0.0
imagenes_ecg_test\0.0\ecg_93.png,0.0
imagenes_ecg_test\0.0\ecg_94.png,0.0
imagenes_ecg_test\0.0\ecg_95.png,0.0
imagenes_ecg_test\0.0\ecg_96.png,0.0
imagenes_ecg_test\0.0\ecg_97.png,0.0
imagenes_ecg_test\0.0\ecg_98.png,0.0
imagenes_ecg_test\0.0\ecg_99.png,0.0
imagenes_ecg_test\0.0\ecg_100.png,0.0
imagenes_ecg_test\0.0\ecg_101.png,0.0
imagenes_ecg_test\0.0\ecg_102.png,0.0
imagenes_ecg_test\0.0\ecg_103.png,0.0
imagenes_ecg_test\0.0\ecg_104.png,0.0
imagenes_ecg_test\0.0\ecg_105.png,0.0
imagenes_ecg_test\0.0\ecg_106.png,0.0
imagenes_ecg_test\0.0\ecg_107.png,0.0
imagenes_ecg_test\0.0\ecg_108.png,0.0
imagenes_ecg_test\0.0\ecg_109.png,0.0
imagenes_ecg_test\0.0\ecg_110.png,0.0
imagenes_ecg_test\0.0\ecg_111.png,0.0
imagenes_ecg_test\0.0\ecg_112.png,0.0
imagenes_ecg_test\0.0\ecg_113.png,0.0
imagenes_ecg_test\0.0\ecg_114.png,0.0
imagenes_ecg_test\0.0\ecg_115.png,0.0
imagenes_ecg_test\0.0\ecg_116.png,0.0
imagenes_ecg_test\0.0\ecg_117.png,0.0
imagenes_ecg_test\0.0\ecg_118.png,0.0
imagenes_ecg_test\0.0\ecg_119.png,0.0
imagenes_ecg_test\0.0\ecg_120.png,0.0
imagenes_ecg_test\0.0\ecg_121.png,0.0
imagenes_ecg_test\0.0\ecg_122.png,0.0
imagenes_ecg_test\0.0\ecg_123.png,0.0
imagenes_ecg_test\0.0\ecg_124.png,0.0
imagenes_ecg_test\0.0\ecg_125.png,0.0
imagenes_ecg_test\0.0\ecg_126.png,0.0
imagenes_ecg_test\0.0\ecg_127.png,0.0
imagenes_ecg_test\0.0\ecg_128.png,0.0
imagenes_ecg_test\0.0\ecg_129.png,0.0
imagenes_ecg_test\0.0\ecg_130.png,0.0
imagenes_ecg_test\0.0\ecg_131.png,0.0
imagenes_ecg_test\0.0\ecg_132.png,0.0
